1309,P10,video,relevant video
646,P1000,record held,"notable record achieved by a person or entity, include qualifiers for dates held"
1515,P1001,applies to jurisdiction,"the item (an institution, law, public office ...) belongs to or applies to the value (a territorial jurisdiction: a country, state, municipality, ...)"
1069,P1002,engine configuration,configuration of an engine's cylinders
199,P1003,NLR (Romania) identifier,identifier for authority control used at the National Library of Romania
1070,P1004,MusicBrainz place ID,identifier for a place in the MusicBrainz open music encyclopedia
1516,P1005,PTBNP identifier,identifier for the Portuguese National Library
1071,P1006,NTA identifier (Netherlands),identifier from the National Thesaurus for Author names (Dutch author-name thesaurus)
200,P1007,Lattes Platform number,number for the Lattes Platform entry on the person or group. Relationship between entry and subject must be supported by a source
468,P101,field of work,"fields of work related to this item (physics, history). For occupation like physicist, historian see P106. Note: Can be used in any item besides person"
201,P1010,Iran statistics ID,identifier for places in Iran
1072,P1011,excluding,usually used as a qualifier
647,P1012,including,usually used as a qualifier
1073,P1013,criterion used,usually used as a qualifier
648,P1014,AAT identifier,identifier in the Art & Architecture Thesaurus by the Getty Research Institute
202,P1015,BIBSYS identifier,identifier in the Norwegian information system BIBSYS
1074,P1016,asteroid taxonomy,type of asteroid classification
649,P1017,BAV (Vatican Library) identifier,identifier for authority control used at the Vatican Library
1517,P1018,language regulatory body,regulatory body of a language
1518,P1019,feed URL,"newsfeed (rss, atom etc.) of this person/organisation/project"
915,P102,member of political party,the political party of which this politician is or has been a member
650,P1021,KldB-2010 occupation code,German classification of occupations 2010
1075,P1022,CNO-11 occupation code,Spanish classification of occupations CNO-11 maintained by the Spanish INE (Instituto Nacional de Estadística)
203,P1023,SBC-2010 occupation code,"Dutch classification of occupations SBC maintained by the Dutch CBS (Centraal Bureau voor de Statistiek), 2010 version"
1519,P1024,SBFI occupation code,Swiss classification of occupations SBFI/SEFRI maintained by the Swiss SBFI/SEFRI
1076,P1025,SUDOC editions,identifier in the French union catalog (see also P269)
1077,P1026,doctoral thesis,thesis that someone wrote to obtain a PhD degree
1078,P1027,conferred by,person or organization who awards a prize to or bestows an honor upon a recipient
651,P1028,donated by,person or organization who donated the object
1079,P1029,crew member,person that participated operating or serving aboard this vehicle
469,P103,native language,language that a person learned natively
204,P1030,light characteristic of a lighthouse,description of a navigational light sequence or colour displayed on a nautical chart
652,P1031,legal citation of this text,legal citation of legislation or a court decision
1520,P1032,Digital Rights Management system,technologies  to control the use of digital content and devices after sale
653,P1033,GHS signal word,"please use with items \"warning\" (Q15350847) and \"danger\" (Q15221217)"
654,P1034,main food source,"the species, genus or family that an organism depends on for nutrition"
655,P1035,honorific suffix,"word or expression with connotations conveying esteem or respect when used, after a name, in addressing or referring to a person"
1521,P1036,Dewey Decimal Classification,"use with qualifier \"edition (p747)\" with item value \"DDC 23\" or create new item to represent the corresponding DDC edition"
205,P1037,manager/director,person who manages any kind of group
1522,P1038,relative,"family member (qualify with \"type of kinship\", P1039; for direct family member please use specific property)"
206,P1039,type of kinship,"qualifier of \"relative (P1038)\" to indicate unusual family relationships (ancestor, son-in-law, adoptions, etc). Avoid using for relationships that can be derived from the family tree or have an explicit property (spouse, child, etc)"
1080,P1040,film editor,"person who worked with the raw footage, selecting shots and combining them into sequences to create a finished motion picture"
1523,P1041,sockets supported,socket for which the electronic part was made
656,P1042,ZDB identifier,identifier for serials
207,P1043,IDEO Job ID,identifier for an occupation on IDEO
208,P1044,SWB editions,union catalog of the South-West German Library Network (SWB)
657,P1045,Sycomore ID,"identifier for a person in the Sycomore database, by the French National Assembly"
1081,P1046,discovery method,way an exoplanet was discovered
1082,P1047,Catholic Hierarchy person ID,identifer for the person on catholic-hierarchy.org
1083,P1048,NCL identifier,identifier for authority control issued by the National Central Library in Taiwan
209,P1049,deity of,religion or group/civilization that worships a given deity
916,P105,taxon rank,level in a taxonomic hierarchy
658,P1050,medical condition,disease or other health problem affecting an individual human or other animal
659,P1051,PSH ID,identifier in the authority database of the Czech Technical Library
1524,P1052,Portuguese Job Code CPP-2010,"código en el catálogo portugués de profesiones, versión del 2010"
210,P1053,ResearcherID,identifier for a researcher in a system for scientific authors
660,P1054,NDL editions,identifier in the National Diet Library (see also P349)
211,P1055,NLM Unique ID,identifier in the catalog of the National Library of Medicine
661,P1056,product,material or product produced by a business or industry
1084,P1057,chromosome,chromosome on which an entity is localized
1525,P1058,ERA Journal ID,identifier for academic journals
1526,P1059,CVR,The Central Business Register identifier. Number for the official database of Danish companies/organizations
11,P106,occupation,"occupation of a person; see also \"field of work\" (Property:P101)"
212,P1060,pathogen transmission process,process by which a pathogen is transmitted
213,P1064,track gauge,spacing of the rails on a railway track
1527,P1065,archive URL,URL to the archived web page specified with URL property
1085,P1066,student of,person who has taught this person
662,P1067,Thailand central administrative unit code,identifier for each of the Thai central administrative units
214,P1068,instruction set,instruction set on which the processor architecture is based
663,P1069,Danemark Job Code (DISCO-08),Danemark Job Code DISCO-08 maintained by the DST and derived from ISCO
1528,P1070,PlantList-ID,identifier in the database of 'The Plant List'
1529,P1071,location of final assembly,place where the item was made; location of final assembly
664,P1072,readable file format,file format a program can open and read
1086,P1073,writable file format,file format a program can create and/or write to
665,P1074,fictional analog of,used to link a class of items appearing in a creative work with the analogous class of objects in the real world
666,P1075,rector,rector of a university
215,P1076,ICTV virus ID,"identifier in the \"International Committee on Taxonomy of Viruses\"-database"
216,P1077,KOATUU identifier,identifier for each of the Ukrainian administrative units
1087,P1078,valvetrain configuration,configuration of the valvetrain utilized by this engine
667,P1079,launch contractor,organization contracted to launch the rocket
917,P108,employer,organization for which the subject works or worked
1088,P1080,from fictional universe,subject's fictional entity is in the object narrative. See also P1441 and P1445
1089,P1081,Human Development Index,HDI value of a country
1090,P1082,population,number of people inhabiting the place; number of people of subject
217,P1083,capacity,"number of people allowed for a venue, vehicle"
1091,P1084,EUL editions,identifier for a book (edition) in the Egyptian union catalog
218,P1085,LibraryThing work identifier,LibraryThing (LT) control number
668,P1086,atomic number,number of protons found in the nucleus of the atom
669,P1087,ELO rating,"quantitative measure of one's game-playing ability, particularly in chess"
219,P1088,Mohs' hardness,mesure empirique de la dureté d'un matériau
918,P109,signature,image of a person's signature
220,P1090,redshift,the redshift measure of an astronomical object
1530,P1092,total produced,quantity of item produced
1092,P1093,gross tonnage,unitless index related to a ship's overall internal volume
221,P1096,orbital eccentricity,amount of the deviation of an orbit from a perfect circle
1093,P1097,g-factor,characteristic property of any elementary particle (Landé factor)
670,P1098,number of speakers,number of people who speak a language
222,P1099,number of masts,number of masts a ship has
1327,P110,illustrator,illustrator of a book
1531,P1100,number of cylinders,number of cylinders in a piston engine or compressor
671,P1101,floors above ground,above ground floor count of a building (ground floor included)
223,P1102,flattening,measure of the compression of an ellipsoid of revolution
1094,P1103,number of platforms,number of tracks serving a platform in a railway station
1095,P1104,number of pages,number of pages in an edition of a written work
1532,P1106,sandbox-quantity,property to be used for testing the quantity datatype
1533,P1107,proportion,"to be used as a qualifier, value must be between 0 and 1"
1096,P1108,electronegativity,prupietà chimica chi' esprimi a tinnenza di n'atumu ad attrarri elittroni versu d'iḍḍu
672,P1109,refractive index,refractive index of a substance with wavelength and temperature as qualifiers
919,P111,measured physical quantity,physical property measured by a unit
1097,P1110,attendance,"number of people (spectators, ticket holders) at an event or exhibition"
1098,P1111,votes received,number of votes for a candidate in an election
1099,P1112,Pokédex number,a Pokémon identification number
673,P1113,series length,the number of items in a series
1534,P1114,quantity,number of instances of this subject
